mic1,mic2,mic3,mic4
-48,78,-56,-118
-34,62,-70,-100
-28,64,-46,-82
-30,68,-62,-116
-30,62,-80,-104
-56,68,-68,-108
-40,78,-64,-88
-44,70,-56,-102
-70,62,-58,-102
-60,80,-48,-104
-32,68,-62,-100
-26,90,-54,-108
-38,74,-74,-104
-36,54,-60,-74
-16,82,-52,-102
-48,76,-68,-82
-20,72,-76,-106
-38,76,-54,-94
-40,68,-74,-96
-40,76,-64,-96
-50,76,-92,-110
-50,84,-78,-114
-30,76,-66,-120
-52,80,-76,-88
-44,86,-70,-104
-42,80,-62,-106
-38,86,-86,-82
-40,80,-54,-112
-50,80,-74,-106
-46,74,-80,-72
-26,76,-68,-108
-38,56,-80,-124
-48,56,-66,-102
-16,48,-70,-120
-62,74,-74,-108
-44,56,-68,-102
-30,78,-52,-78
-48,68,-78,-74
-48,106,-80,-100
-46,100,-74,-104
-38,76,-58,-96
-48,60,-58,-90
-22,68,-50,-98
-48,80,-66,-116
-16,68,-84,-94
-34,76,-68,-84
-38,94,-86,-104
-40,74,-52,-80
-46,70,-58,-70
-70,96,-72,-84
-22,68,-22,-80
-30,66,-50,-92
-36,88,-50,-102
-40,90,-76,-96
-18,78,-68,-88
-34,86,-72,-106
-40,62,-48,-88
-12,72,-64,-74
-38,82,-42,-96
-30,78,-70,-86
-38,56,-72,-104
-52,72,-70,-116
-26,88,-50,-84
-54,74,-76,-72
-32,82,-78,-88
-32,90,-52,-98
-40,62,-68,-98
-46,70,-72,-70
-34,80,-56,-98
-22,92,-64,-96
-40,78,-40,-88
-30,74,-80,-92
-10,76,-64,-78
-28,60,-64,-76
-36,94,-70,-70
-50,58,-60,-98
-44,82,-64,-90
-22,92,-60,-94
-38,70,-62,-100
-36,98,-66,-104
-28,74,-60,-80
-34,78,-78,-102
-44,84,-72,-104
-44,76,-50,-122
-4,84,-72,-90
-10,82,-52,-96
-32,70,-76,-112
-24,70,-48,-94
-32,78,-86,-88
-52,60,-84,-90
-16,72,-82,-72
-44,74,-60,-106
-32,88,-80,-106
-38,72,-58,-108
-34,98,-58,-84
-32,80,-68,-70
-14,78,-80,-96
-30,76,-60,-90
-36,72,-80,-86
-16,72,-90,-86
-28,78,-62,-96
-42,68,-44,-64
-34,78,-74,-70
-54,70,-52,-72
-30,68,-78,-86
-28,56,-94,-94
-56,52,-56,-104
-38,86,-76,-88
-30,74,-90,-96
-46,88,-52,-86
-54,56,-56,-110
-32,58,-52,-98
-20,58,-78,-84
-36,70,-70,-106
-32,90,-74,-82
-26,70,-62,-84
-44,98,-66,-72
-20,44,-64,-94
-38,60,-72,-88
-46,60,-64,-94
-28,78,-80,-100
-40,68,-66,-82
-44,72,-66,-94
-30,88,-50,-100
-38,90,-60,-100
-18,90,-54,-88
-28,82,-62,-104
-34,92,-82,-108
-48,66,-66,-90
-24,70,-64,-96
-50,70,-60,-100
-40,64,-76,-104
-46,68,-54,-120
-16,50,-62,-116
-30,80,-68,-100
-36,62,-50,-98
-34,70,-72,-108
-20,68,-86,-116
-42,50,-86,-106
-32,80,-96,-124
-22,50,-74,-102
-44,74,-72,-106
