mic1,mic2,mic3,mic4
-28,80,-94,16
-56,74,-80,-2
-26,82,-62,-8
-56,56,-66,-2
-32,78,-80,-10
-22,78,-80,-26
-30,62,-78,-24
-30,100,-74,2
2,86,-60,-22
-34,78,-94,-4
-34,90,-62,-20
-40,76,-78,-20
-36,90,-68,6
-22,84,-86,-32
-50,74,-62,-28
-18,74,-60,-30
-26,84,-80,6
-50,78,-66,16
-42,82,-48,-8
-38,80,-68,-4
-18,78,-84,20
-34,76,-64,-20
-24,80,-76,-40
-12,80,-76,-18
-26,62,-88,36
-40,78,-76,16
-26,78,-72,-24
0,86,-76,-24
-18,72,-90,20
-28,76,-52,-12
-32,110,-84,-28
-20,68,-50,-16
-42,76,-78,16
-14,88,-74,0
-36,92,-68,14
-18,74,-94,2
-14,100,-68,18
-16,80,-88,-2
-2,84,-82,-24
-12,82,-80,0
-36,82,-52,-16
-40,72,-104,-4
-20,80,-72,-14
-52,80,-74,-4
-26,72,-60,18
-10,66,-80,-2
-14,72,-80,-2
-6,92,-54,36
-18,82,-72,10
-20,96,-92,16
-38,62,-96,2
-8,66,-72,14
-32,80,-68,20
-24,68,-52,-24
-20,82,-62,-2
-26,86,-64,10
-42,80,-68,-18
-24,104,-82,-14
-52,96,-84,10
-10,72,-94,24
-32,86,-68,10
-32,80,-80,42
-26,84,-76,22
-28,66,-90,-8
-28,112,-80,-32
-40,88,-80,-6
-4,84,-66,24
-16,88,-84,6
-18,68,-60,-52
-4,62,-66,-60
-22,104,-88,-12
-26,90,-68,14
-22,80,-54,-14
-32,76,-60,32
-22,68,-64,30
-18,82,-64,4
-30,94,-70,20
-50,82,-78,26
-12,82,-70,30
-24,92,-66,-2
-12,62,-70,16
-18,104,-68,4
-24,88,-52,42
-38,82,-66,-20
-10,86,-74,-4
-16,92,-56,12
-20,108,-64,40
-22,66,-78,16
-40,84,-76,32
-42,76,-68,18
-40,58,-62,-2
-14,88,-94,-18
-16,68,-54,-6
-24,82,-82,2
-22,102,-66,42
-14,58,-58,-18
-18,76,-66,-16
-16,98,-74,10
-14,72,-68,18
-12,92,-86,36
0,86,-60,14
-22,84,-66,-8
-16,80,-78,-20
-10,66,-80,-50
-18,112,-86,-40
-14,66,-66,8
-24,88,-76,22
-24,80,-56,4
-32,102,-56,-6
8,62,-58,26
-46,94,-64,44
-14,82,-78,4
-8,72,-74,-2
-2,76,-64,-24
20,64,-88,14
-6,92,-68,6
-8,86,-62,34
-4,98,-58,24
-14,64,-56,60
-14,88,-46,74
-8,116,-48,46
-8,76,-84,82
-14,90,-66,74
-44,82,-66,52
-2,78,-54,46
-6,94,-68,20
-20,96,-62,22
-22,84,-54,10
-6,88,-72,16
4,102,-46,46
-6,96,-96,56
0,108,-68,40
-40,98,-74,68
-8,92,-72,0
-12,76,-44,-10
-30,102,-56,34
-24,92,-54,-16
-12,104,-80,2
0,96,-38,-24
-18,100,-58,4
-8,94,-60,12
-6,110,-50,42
-14,120,-56,92
0,104,-34,38
4,86,-82,42
-26,106,-72,44
-10,104,-56,26
-42,98,-54,18
-6,96,-56,-4
-16,100,-62,-6
-22,62,-62,-4
0,90,-66,-32
-4,84,-60,-12
-34,102,-70,44
-4,90,-44,34
-8,92,-52,66
-4,82,-72,26
-26,80,-58,16
-20,88,-78,42
-6,92,-70,22
-38,92,-74,2
-20,66,-54,48
-16,82,-90,52
-16,98,-44,20
-14,74,-78,48
6,88,-62,36
2,114,-56,38
2,106,-46,52
-20,104,-76,-14
0,90,-58,50
-28,80,-84,-32
-30,100,-90,10
-16,68,-66,32
-18,78,-80,8
-2,82,-70,14
-22,88,-78,24
-22,88,-68,16
-18,76,-58,60
-20,92,-74,80
-12,80,-62,30
-24,80,-62,46
-16,110,-60,56
16,86,-70,16
-22,90,-58,2
-12,62,-90,48
12,86,-76,38
-12,98,-84,26
-6,86,-62,14
0,84,-74,8
-4,86,-60,24
-6,92,-60,-2
-42,94,-92,24
-20,112,-42,2
-16,72,-76,-6
-46,106,-70,46
-28,92,-68,70
-12,88,-68,24
12,82,-58,44
-16,88,-68,32
-14,92,-74,12
-22,90,-62,36
0,86,-60,-26
-18,76,-78,-16
-42,88,-64,6
-18,112,-54,-12
-46,100,-66,2
-44,100,-56,16
-32,94,-64,2
4,112,-62,14
-20,84,-72,76
-10,74,-66,14
10,82,-62,54
0,82,-48,14
-10,80,-68,-8
-24,52,-46,2
2,76,-88,2
-8,102,-70,38
-14,84,-42,-18
-32,72,-78,-6
-8,116,-46,-10
-36,86,-70,2
-14,76,-64,58
-14,84,-62,26
22,90,-74,50
0,76,-58,4
-4,74,-80,10
-16,88,-64,24
-10,74,-68,10
-14,66,-74,-20
-24,96,-92,34
-26,94,-96,14
-30,98,-88,-14
-16,66,-58,32
-14,66,-64,48
-20,82,-54,22
-4,106,-80,66
8,60,-52,34
2,82,-80,54
-4,94,-48,62
-4,108,-42,6
-14,116,-78,20
-20,116,-72,6
-24,92,-70,6
-38,72,-76,-6
-28,94,-62,-18
-4,92,-76,44
-28,78,-66,10
-24,86,-60,22
-20,78,-62,58
-6,88,-28,2
10,70,-52,-2
-14,72,-48,10
-4,80,-68,22
8,78,-78,-6
-6,82,-90,60
-6,94,-68,26
-20,92,-72,44
-16,88,-88,42
-2,90,-76,16
-12,112,-88,34
-2,80,-78,-26
-14,96,-72,4
-28,78,-74,14
-20,78,-50,-24
-10,84,-76,-12
8,98,-54,12
-18,78,-92,32
-24,66,-68,-10
-22,78,-80,-2
16,92,-50,46
-22,78,-64,30
-32,78,-84,8
2,88,-88,-2
-26,98,-86,-12
-20,98,-72,-40
-6,78,-82,8
-24,98,-50,16
-12,94,-54,-20
-20,82,-74,0
-2,106,-86,32
-26,80,-66,32
-26,88,-76,-18
-24,76,-68,16
-22,68,-76,-22
-28,50,-86,-20
-6,72,-82,32
-22,96,-72,2
-30,52,-92,16
-12,74,-80,-14
-10,84,-84,0
-30,76,-58,-30
-22,70,-74,12
-24,86,-80,4
-24,64,-58,8
-20,62,-68,36
-18,66,-36,2
-12,102,-66,-14
0,60,-70,12
-6,74,-82,-18
-20,80,-102,-28
22,72,-64,-24
-2,62,-60,-10
-22,78,-80,-32
18,84,-50,-26
-12,58,-60,-40
-16,88,-74,-48
-14,64,-50,-58
-16,88,-66,-40
-32,76,-82,-8
0,72,-60,-22
-22,78,-82,-18
-28,96,-76,-18
-30,76,-104,-22
-8,68,-64,-24
-16,72,-74,-28
-26,84,-64,-16
-42,94,-66,4
-22,84,-76,-38
-8,76,-74,-52
-18,68,-72,22
-18,84,-64,-48
-8,92,-66,-26
8,80,-68,-34
-18,86,-94,-4
-28,70,-52,24
-4,46,-68,18
-28,100,-88,-2
-24,80,-60,-8
-38,78,-84,-8
-6,84,-72,-22
-28,80,-92,-20
-48,70,-64,-30
2,76,-56,4
-22,58,-72,-48
-4,96,-70,-28
-16,88,-90,-22
-32,94,-60,-10
-22,66,-96,-20
-14,66,-74,28
-40,58,-94,2
-24,58,-72,-18
-8,66,-74,26
-20,66,-64,-20
-12,82,-56,-56
-38,82,-64,-6
-4,80,-70,-28
-38,66,-82,-40
-28,78,-84,-20
-30,80,-64,-54
-28,86,-76,-10
-24,82,-86,-2
-26,90,-78,-42
-40,88,-74,-78
-16,66,-84,16
-18,66,-74,-76
-26,72,-94,-48
-22,82,-82,2
16,46,-64,-28
-42,86,-88,-34
-12,60,-72,-4
-18,80,-86,-10
-20,66,-70,-50
-14,98,-88,-54
-42,104,-92,-62
-26,78,-90,-32
-22,86,-84,-48
-22,72,-66,-58
-28,74,-92,-16
-28,60,-64,-36
-44,78,-74,-28
-18,66,-74,-12
-40,76,-62,-36
-26,62,-76,-32
-40,82,-64,-34
-46,78,-84,4
-28,68,-102,-10
-48,60,-92,-38
-34,86,-82,-34
-10,94,-78,-50
-4,58,-84,-56
-12,58,-58,-10
-22,68,-64,-2
-14,64,-76,-22
-14,66,-78,-20
-8,72,-58,-60
-42,62,-76,-44
-36,58,-68,-24
-30,80,-84,-16
-36,68,-84,-40
-20,78,-68,-44
-42,92,-78,-60
-14,70,-86,-20
-14,92,-86,-34
-20,76,-78,-60
-24,70,-78,-32
-20,76,-62,-46
-32,96,-64,-36
-42,60,-72,-50
-18,76,-84,-60
-32,58,-66,-14
-44,86,-58,-44
-28,66,-60,-52
-38,90,-86,-52
-34,90,-106,-44
-22,76,-92,16
-28,68,-78,-78
-26,100,-48,12
-26,86,-60,-76
-28,90,-58,-76
-28,88,-82,-10
-18,62,-76,-62
-18,60,-62,-60
-8,78,-84,-52
0,60,-74,-52
-24,82,-70,-42
-28,116,-78,-46
-34,82,-78,-44
-32,86,-76,-38
-46,68,-92,-34
-26,90,-78,-48
2,84,-70,-64
-28,102,-68,-34
0,108,-66,-30
-26,64,-78,-42
-16,72,-76,-16
-28,66,-86,-34
-18,106,-76,-10
-30,72,-78,-48
-20,60,-74,-52
-18,68,-92,-22
-38,84,-70,-32
-26,68,-94,-42
0,82,-66,-56
-22,88,-74,-54
-30,64,-60,-52
-12,80,-92,-40
-28,86,-88,-6
-18,86,-82,-24
-24,86,-52,-46
-28,92,-66,-96
-42,100,-100,-2
-42,64,-86,-18
-42,80,-92,-28
-28,78,-88,-58
-28,68,-64,-34
-30,84,-50,-54
-22,102,-60,-14
-16,82,-64,-52
-30,90,-66,-70
-22,88,-74,-36
-22,70,-66,-68
-24,76,-76,-78
-12,80,-64,-52
-32,72,-86,-50
-36,80,-62,-54
-42,98,-54,-12
-12,94,-70,-48
-18,88,-74,-62
-24,76,-92,-58
-18,82,-78,-72
-20,78,-74,-46
-28,74,-72,-60
-24,58,-78,-70
-22,82,-90,-34
-24,60,-68,-64
-2,62,-68,-88
-4,76,-88,-36
-22,78,-62,-62
-20,78,-82,-84
-24,70,-74,-102
-22,84,-68,-50
-30,64,-94,-76
-30,62,-88,-30
-26,74,-84,-86
-32,62,-74,-50
-20,86,-88,-78
-16,76,-66,-56
-38,104,-96,-100
-24,80,-62,-18
-4,70,-72,-72
-16,92,-58,-30
-24,78,-72,-40
-18,64,-84,-38
-12,82,-78,-54
-4,90,-88,-104
2,84,-68,-20
-16,52,-74,-44
-26,86,-88,-70
-32,86,-98,-48
-34,78,-42,-96
-12,64,-72,-44
-16,84,-66,-38
-26,68,-78,-100
-10,88,-56,-66
-28,56,-86,-40
-30,78,-74,-40
-6,88,-76,-56
-6,102,-92,-68
-32,90,-66,-64
-24,66,-94,-78
-18,60,-72,-22
-14,84,-70,-82
-20,74,-82,-52
-42,104,-54,-52
-24,78,-60,-74
-14,98,-68,-60
-12,70,-60,-42
-12,92,-72,-42
-28,102,-70,-6
-6,68,-76,-52
-28,86,-80,-48
-10,80,-80,-18
-26,92,-96,-36
-8,74,-86,-46
-44,52,-96,-66
-16,66,-80,-42
-16,84,-64,-42
-30,66,-84,-54
-12,88,-76,-82
12,100,-70,-42
-24,88,-78,-58
-12,88,-56,-76
-36,54,-62,6
-12,78,-90,-66
-22,108,-88,-88
-18,90,-66,-36
-48,92,-74,-52
-34,84,-98,-40
-36,78,-82,-26
-18,76,-56,-108
4,62,-76,-56
-10,88,-78,-66
-6,82,-64,-44
-2,72,-78,-54
-20,90,-64,-36
-20,88,-80,-6
-22,80,-60,-48
-22,106,-84,-58
-16,80,-66,-88
-4,82,-68,-88
-16,102,-90,-32
-26,66,-66,-40
-24,86,-72,-70
-2,82,-52,-16
-2,78,-64,-62
-12,70,-50,-64
-8,82,-40,-88
8,80,-62,-50
0,52,-78,-72
2,80,-94,-64
-26,68,-90,-36
-22,96,-74,-96
-12,120,-60,-66
-18,70,-68,-10
-10,78,-52,-26
-22,76,-68,-56
-22,96,-48,-48
-12,90,-86,-30
-10,84,-78,-36
-30,78,-92,-30
-16,78,-72,-42
-32,88,-56,-28
-10,86,-64,-42
-14,108,-72,-26
-18,98,-92,-20
-18,86,-78,-40
-20,76,-72,-74
-34,64,-62,-52
-20,78,-68,-36
-36,56,-78,-26
-48,94,-82,-86
-12,66,-70,-62
-10,82,-74,-42
-12,82,-82,-10
-14,110,-76,-28
-28,98,-90,-110
-20,84,-88,-54
-30,70,-96,-34
-14,72,-68,-58
-30,72,-74,-64
-16,52,-82,-72
-40,82,-74,-58
-32,70,-52,-42
-4,88,-76,-26
-18,72,-74,-64
-26,92,-104,-102
-36,90,-52,-14
-20,92,-66,-60
4,80,-68,-90
-26,88,-82,-22
-22,90,-64,-84
-24,74,-86,-82
-18,70,-96,-80
-18,88,-82,-80
-24,66,-66,-50
-22,70,-80,-54
0,100,-68,-42
-16,102,-86,-80
-46,82,-72,-58
-16,88,-84,-54
-36,84,-76,-64
-30,84,-64,-24
-22,94,-86,-46
-34,76,-84,-56
0,90,-46,-82
-10,106,-62,-68
-18,80,-60,-56
-24,96,-76,-84
-28,66,-58,-38
-16,90,-68,-54
-24,94,-86,-48
-10,52,-44,-36
-4,100,-80,-52
-8,92,-48,-32
-14,90,-44,-74
-12,98,-72,-82
-26,78,-36,-62
-24,78,-78,-52
-10,90,-72,-48
0,98,-82,-48
6,120,-70,-70
-38,72,-68,-32
-20,104,-66,-40
-14,80,-80,-44
-14,74,-64,-34
-14,98,-64,-56
-18,86,-86,-46
-26,96,-76,-90
-26,94,-72,-6
-24,80,-72,-42
-18,84,-62,-68
-2,72,-62,-42
0,84,-82,-48
-2,94,-66,-34
-14,84,-84,-34
-16,82,-84,-50
-4,72,-82,-44
-14,78,-76,-26
-28,64,-70,-34
-42,96,-62,-44
-22,88,-62,-42
0,92,-60,-46
-6,96,-70,-40
0,124,-84,-34
-20,86,-70,-48
-2,78,-76,-56
-4,56,-62,-34
-14,98,-64,-32
-18,88,-68,-42
-16,72,-66,-34
-24,98,-64,-24
-16,74,-74,-32
-32,88,-68,-22
-8,72,-72,-24
-38,108,-72,-28
-38,70,-50,-12
20,86,-66,-28
4,94,-64,-32
-8,86,-66,-30
-8,78,-50,-38
-46,76,-84,-32
-8,92,-68,-20
-12,106,-64,-4
-48,84,-62,-30
-10,76,-44,-14
-2,72,-70,4
-24,92,-74,-42
-14,86,-74,-16
-28,96,-76,-4
-12,100,-68,-20
10,100,-92,-8
-36,102,-70,-38
6,70,-72,-22
-4,86,-64,-32
-30,86,-60,-14
-18,94,-72,-12
-10,92,-62,-2
16,82,-66,-18
-4,78,-60,-16
18,78,-70,-6
-32,64,-74,6
6,60,-52,-4
2,78,-70,-20
-16,78,-70,4
16,80,-68,-26
-2,88,-72,-24
-2,98,-68,-24
-38,90,-64,-22
-20,90,-56,-8
-12,76,-80,-14
-28,88,-70,-14
-12,80,-74,-20
-20,80,-76,2
-2,64,-82,-20
-6,86,-64,-14
0,82,-64,-16
-16,72,-76,-2
-2,108,-66,-4
-6,82,-84,18
16,100,-74,6
-30,66,-72,-14
-10,98,-56,-10
-6,78,-78,2
-20,58,-82,-8
-26,100,-64,-2
-26,68,-102,-22
-8,90,-72,14
-14,88,-90,16
-4,90,-68,-14
-8,68,-86,-8
-34,66,-54,-12
-12,82,-88,-24
-4,86,-86,-14
-18,80,-88,12
-12,70,-70,-2
-12,64,-90,0
-14,102,-76,2
-16,58,-98,-4
-8,72,-90,-32
-26,80,-64,12
-22,82,-62,-12
-8,90,-70,-8
-14,94,-80,4
-20,76,-86,-8
-18,96,-76,-4
-24,60,-82,-30
-2,92,-78,10
-20,74,-82,12
-16,60,-72,10
-8,76,-72,-8
-22,88,-72,-6
-26,80,-80,-14
-14,90,-64,0
-20,70,-64,8
-4,74,-50,-10
-20,70,-82,-16
-14,78,-66,24
-42,86,-78,-8
-22,76,-86,-14
-20,88,-74,-10
-8,90,-76,-12
-22,78,-78,6
-26,92,-100,-4
-24,76,-108,2
-18,68,-92,-8
-28,58,-72,8
-20,64,-66,-20
-38,60,-74,-22
-18,70,-66,4
-14,78,-62,-16
-24,70,-90,2
-24,92,-68,-2
-24,94,-52,-4
-30,86,-86,6
-26,78,-76,-14
-26,76,-74,-10
-34,70,-74,-16
-28,80,-82,12
-26,74,-82,8
-36,68,-58,26
-38,66,-52,16
-20,78,-58,-4
-18,84,-64,0
-14,46,-72,4
-20,76,-82,-12
-20,80,-74,-4
-14,54,-66,4
-26,78,-52,-6
-12,68,-82,-2
-6,72,-66,-8
-24,88,-108,-12
-22,94,-74,2
-14,62,-62,30
-34,98,-82,-8
-16,90,-62,-12
-22,60,-68,-2
-4,80,-86,4
-40,68,-92,-8
-36,74,-64,2
-40,78,-78,36
-12,84,-72,4
-10,84,-72,-16
-28,68,-104,-10
-12,76,-80,-8
-14,52,-78,-2
-10,66,-72,6
-8,70,-102,22
-20,68,-90,10
-24,78,-74,-2
-24,70,-72,12
-50,76,-78,22
-28,98,-70,-8
-12,92,-66,10
-34,86,-86,16
-24,68,-90,2
-38,74,-88,-6
-30,100,-68,6
-24,82,-98,-2
-22,80,-72,-24
-36,64,-92,16
-16,90,-82,12
-32,80,-80,-14
-26,66,-92,10
-12,66,-58,12
-10,64,-70,-8
-26,52,-54,30
-40,64,-70,20
8,98,-68,6
-12,80,-62,26
-40,88,-76,10
-30,68,-90,-2
-46,82,-90,-4
-18,82,-100,2
-16,100,-96,2
-36,60,-86,10
-20,96,-88,18
-10,72,-88,34
-18,86,-70,14
-26,66,-76,10
-48,94,-88,6
-34,62,-86,4
-24,82,-76,6
-14,98,-68,38
-16,48,-66,22
-22,76,-92,14
-20,66,-86,16
-22,72,-74,16
-20,74,-86,-2
-20,88,-112,-4
4,60,-76,14
-10,72,-68,18
8,62,-74,24
0,78,-66,22
-20,68,-68,-4
-34,72,-72,22
-28,66,-74,16
-2,74,-94,12
-18,82,-72,-2
4,60,-78,10
-6,52,-76,4
-16,64,-98,24
-30,84,-80,-6
-24,100,-72,20
-14,64,-76,20
-16,94,-82,18
-4,86,-68,36
-6,104,-66,24
-28,66,-68,38
-32,74,-74,28
-22,84,-60,20
-30,88,-82,44
-24,74,-76,16
-14,50,-58,30
-26,74,-88,44
-4,82,-74,4
-12,102,-74,18
12,68,-88,32
-16,86,-48,2
-26,80,-70,4
-6,88,-74,42
-18,50,-62,20
-2,88,-54,34
-18,74,-80,14
6,86,-84,14
-14,62,-76,34
-14,72,-70,22
-10,106,-98,10
-2,78,-72,14
-28,66,-58,4
-24,78,-78,-2
-38,66,-76,32
-30,64,-84,16
2,86,-78,10
-26,76,-66,20
-18,90,-70,-6
-4,82,-74,20
2,72,-90,50
-6,80,-86,18
-20,80,-106,18
0,84,-96,4
-12,84,-84,-8
-18,96,-52,32
-24,78,-56,8
-18,64,-68,26
14,70,-66,34
-4,80,-76,8
-22,82,-84,18
-2,70,-86,26
4,82,-96,12
-20,72,-62,12
-12,82,-84,12
2,64,-62,8
-20,72,-56,18
-18,90,-64,-16
-30,98,-68,12
-14,66,-58,20
-8,82,-70,20
-12,74,-62,16
-28,58,-84,18
-22,82,-70,20
2,98,-76,8
-24,76,-80,10
0,74,-64,4
-8,102,-86,26
-28,70,-68,6
-22,74,-76,-16
-24,82,-82,10
-12,56,-70,22
-16,62,-84,2
14,50,-76,-18
4,82,-52,0
-12,66,-66,-18
-12,116,-80,16
0,68,-52,18
-4,92,-68,22
-10,72,-64,0
-24,52,-108,20
-8,82,-80,20
-20,70,-92,16
-8,70,-62,32
-4,74,-72,12
6,106,-64,30
-26,80,-68,16
-16,70,-64,14
-10,80,-52,-6
-16,94,-86,16
8,70,-76,20
-34,84,-58,8
-6,62,-78,36
-6,76,-62,54
-4,78,-64,6
-10,84,-64,16
-8,70,-74,16
-16,88,-66,10
-8,82,-78,24
-10,76,-56,-4
-22,62,-54,14
4,72,-90,2
-14,94,-56,4
-20,76,-72,12
-10,70,-68,2
-6,84,-54,4
-12,98,-80,20
-14,78,-60,12
24,74,-74,8
-14,86,-94,24
-14,78,-76,32
-20,72,-78,16
-6,66,-68,14
-10,66,-78,8
-38,72,-78,-8
-10,88,-90,-14
-12,90,-86,-2
-2,96,-60,20
-10,90,-56,0
-12,82,-64,16
-10,62,-78,8
-2,106,-92,12
-14,80,-74,12
-30,74,-54,-4
0,82,-62,28
-12,78,-62,14
0,74,-62,6
-10,82,-62,-4
-22,86,-44,-10
-26,88,-78,-2
-2,90,-78,8
-2,74,-64,-4
-12,70,-78,0
-22,76,-62,8
-18,92,-64,12
-12,78,-74,-26
-16,64,-76,40
-2,72,-110,2
8,64,-74,16
-38,66,-60,2
12,70,-60,-12
-16,64,-88,-8
-14,82,-50,2
-4,74,-48,14
-16,106,-82,-4
-18,70,-46,4
-4,82,-66,-2
-14,58,-82,-18
12,98,-82,0
-18,84,-76,8
-14,84,-72,6
4,58,-58,-8
-26,94,-62,0
-12,76,-70,4
-18,64,-62,-4
-12,66,-66,-16
-2,96,-72,-8
-34,78,-96,-4
-34,62,-78,0
-14,54,-76,4
-38,96,-78,10
-6,84,-84,4
2,88,-70,-22
-26,78,-100,-12
-18,56,-50,-8
-40,80,-62,-30
-28,72,-76,-8
-12,64,-76,-26
-20,58,-54,-10
-24,74,-96,-24
-26,74,-70,-12
0,56,-52,4
-12,90,-50,0
0,60,-64,0
-16,78,-78,-8
-6,52,-70,2
-16,92,-76,-2
-18,86,-72,-16
-10,78,-60,8
-24,70,-60,-10
-8,76,-86,-24
-24,76,-72,-26
-4,88,-68,-2
0,70,-74,-18
-20,62,-70,-2
-12,98,-48,10
-20,78,-48,2
-2,80,-76,-2
-16,62,-70,16
-14,78,-78,-12
-14,86,-56,10
-6,68,-70,-14
-34,76,-82,-22
-30,52,-72,-16
2,62,-80,-26
-30,74,-86,-30
-14,72,-88,-30
-32,72,-64,-30
-10,66,-88,-6
-22,74,-68,-28
-26,62,-104,-18
-20,82,-88,-18
-18,74,-78,-44
-34,74,-100,-28
-12,60,-84,-2
-12,70,-82,-14
-28,76,-104,-12
-8,78,-94,-28
-6,90,-70,-26
-24,54,-96,-14
-42,70,-62,6
-14,92,-54,-20
-4,76,-58,-20
-20,58,-88,-22
-4,92,-70,-20
-14,82,-74,-30
-22,80,-92,-32
-26,64,-100,-26
-28,84,-84,-20
-44,56,-80,-28
-26,84,-82,-20
-8,88,-88,-26
-18,86,-102,-34
-28,86,-104,-34
-10,64,-92,-32
-40,90,-96,-22
-4,70,-78,-6
-24,64,-96,-30
-34,54,-74,-34
-32,60,-80,-50
-20,54,-68,-12
-30,54,-76,-16
-32,60,-90,-26
-22,68,-88,-22
-4,68,-70,-34
-12,52,-88,-28
-20,58,-86,-30
-24,70,-96,-26
-34,78,-68,-16
-20,54,-64,-14
-14,68,-84,-34
-28,62,-80,-4
-14,76,-74,-54
-34,98,-64,-30
-24,74,-52,-40
-24,48,-80,-44
-20,76,-78,-26
-28,68,-76,-42
-40,62,-74,-46
-42,56,-84,-42
-32,60,-82,-24
-4,68,-88,-18
-24,46,-70,-18
-36,84,-84,-36
-20,52,-100,-30
-52,80,-74,-40
-38,64,-78,-32
-12,78,-76,-22
-18,46,-78,-58
-22,66,-70,-34
-40,84,-66,-32
-22,76,-84,-16
-16,68,-60,-32
-46,72,-84,-38
-30,72,-82,-30
-26,44,-74,-38
-20,76,-76,-26
-24,64,-86,-10
-18,78,-80,-20
-16,78,-82,-32
-32,74,-78,-16
-12,84,-66,-28
-28,76,-110,-36
-40,64,-94,-42
-22,50,-72,-24
-14,90,-66,-50
-22,60,-82,-30
-10,62,-86,-14
-28,56,-60,-54
-44,62,-108,-40
-28,60,-96,-34
-12,66,-62,-10
-6,78,-68,4
-26,62,-72,-34
-32,62,-78,-32
-4,66,-76,-24
-10,76,-72,-10
-32,60,-58,-28
0,80,-74,-44
-38,72,-98,-24
-18,72,-78,-24
-2,76,-80,-44
-32,56,-76,-14
-40,48,-74,-20
-36,66,-82,-42
-32,64,-84,-46
-48,80,-70,-34
-36,60,-92,-32
-24,62,-74,-22
0,74,-84,-32
-10,80,-102,-60
-28,84,-68,-42
-48,76,-106,-18
-6,78,-74,-12
-16,84,-96,-28
-32,70,-96,-32
16,40,-98,-32
-22,74,-98,-10
-52,66,-74,-52
-20,94,-94,-50
-24,74,-72,-44
-38,86,-56,-60
-20,64,-84,-46
-38,80,-76,-32
-40,74,-68,-38
-30,82,-70,-26
-16,80,-66,-38
-22,80,-74,-36
-26,82,-80,-58
-28,54,-68,-32
-18,86,-70,-32
-12,78,-70,-14
-22,60,-70,-22
-2,70,-92,-36
-36,80,-82,-58
-14,56,-54,-44
-34,92,-76,-48
-20,84,-96,-24
-52,78,-58,-42
-26,78,-72,-34
-40,82,-46,-46
-32,108,-86,-46
-44,74,-72,-46
-16,84,-78,-34
-16,80,-72,-32
-40,76,-54,-38
-10,64,-68,-10
-38,80,-84,-32
-14,86,-100,-36
-28,80,-54,-54
-44,68,-84,-36
-30,68,-96,-42
-26,72,-86,-38
-6,64,-86,-32
-28,90,-76,-24
-16,74,-72,-64
-20,92,-80,-34
-12,60,-64,-30
-16,58,-82,-16
-36,82,-74,-42
-28,80,-76,-34
-30,102,-78,-34
-52,78,-62,-24
-32,70,-90,-30
-18,66,-60,-46
-12,102,-82,-42
-26,96,-74,-52
-14,76,-68,-46
-26,62,-78,-36
-18,82,-56,-44
-26,92,-60,-38
-22,80,-68,-36
-24,78,-68,-18
-34,74,-92,-28
-14,78,-62,-40
-30,62,-78,-28
-36,68,-66,-26
-42,80,-70,-30
-2,64,-68,-36
-16,100,-96,-30
-8,90,-68,-28
-38,100,-84,-42
-22,94,-60,-60
-14,76,-80,-36
-28,76,-62,-58
-36,78,-70,-34
-16,72,-102,-50
-22,72,-58,-32
-32,66,-74,-34
-38,72,-82,-32
-18,64,-72,-18
-44,74,-68,-24
-28,60,-78,-34
-20,76,-64,-22
-42,78,-68,-34
-42,70,-70,-36
-26,82,-66,-44
-28,88,-76,-24
-22,84,-66,-44
-26,70,-58,-46
-36,88,-96,-48
-46,80,-56,-20
-16,68,-84,-16
-52,70,-94,-24
-24,78,-78,-18
-24,68,-58,-30
-38,86,-76,-40
-34,98,-72,-44
-40,62,-52,-26
-28,60,-76,-22
-34,92,-60,-46
-10,82,-80,-52
-34,74,-92,-52
-26,92,-64,-46
-26,72,-74,-48
-26,78,-76,-40
-24,70,-74,-42
-42,82,-98,-32
-48,60,-58,-10
-42,68,-84,-44
-42,60,-84,-22
-38,56,-84,-44
-40,86,-76,-4
-18,66,-60,-18
-30,100,-100,-48
-24,98,-86,-46
-16,82,-82,-44
-48,84,-60,-32
-58,82,-76,-32
-22,70,-82,-24
-30,48,-82,-48
-24,84,-68,-48
-32,68,-66,-24
-32,74,-68,-34
-40,68,-76,-20
-26,80,-106,-36
-28,64,-50,-48
-26,76,-90,-32
-50,70,-78,-46
-54,76,-80,-42
-32,96,-60,-20
-22,72,-76,-40
-22,98,-102,-18
-52,66,-86,-28
-32,68,-90,-34
-44,66,-80,-60
-30,82,-86,-58
-10,58,-76,-4
-14,88,-66,-22
-26,66,-80,-30
-34,88,-72,-42
-28,84,-72,-28
-12,100,-90,-16
-26,76,-94,-28
-54,92,-86,-26
-38,66,-76,-40
-54,62,-74,-34
-46,72,-78,-44
-38,88,-84,-36
-34,56,-72,-36
-30,86,-70,-28
-30,100,-76,-38
-42,96,-74,-32
-42,96,-74,-52
-28,86,-86,-14
-48,78,-86,-32
-54,66,-88,-30
-48,80,-84,-40
-38,82,-60,-22
8,80,-76,-20
-12,78,-78,-30
-20,80,-72,-48
-26,88,-102,-40
-28,84,-88,-18
-38,100,-78,-24
-38,74,-70,-44
-32,92,-68,-40
-46,94,-78,-34
-22,76,-80,-24
-14,76,-54,-28
-20,88,-84,-4
-30,60,-82,-34
-24,94,-90,-34
-24,82,-78,2
-46,64,-98,-12
-22,76,-80,-18
-44,78,-62,-30
-24,70,-70,-32
-46,90,-86,-38
-58,62,-80,-46
-48,68,-94,-34
-36,72,-74,-22
-42,76,-82,-30
-34,80,-70,-34
